Humidity;Temperature;Machine1,RawMaterialFeederParameter,U,Actual;Machine1,Zone1Temperature,C,Actual;Machine1,Zone2Temperature,C,Actual;Machine1,MotorAmperage,U,Actual;Machine1,MotorRPM,C,Actual;Machine1,MaterialPressure,U,Actual;Machine1,MaterialTemperature,U,Actual;Machine1,ExitZoneTemperature,C,Actual;Machine2,RawMaterial,Property1;Machine2,RawMaterial,Property2;Machine2,RawMaterial,Property3;Machine2,RawMaterial,Property4;Machine2,RawMaterialFeederParameter,U,Actual;Machine2,Zone1Temperature,C,Actual;Machine2,Zone2Temperature,C,Actual;Machine2,MotorAmperage,U,Actual;Machine2,MotorRPM,C,Actual;Machine2,MaterialPressure,U,Actual;Machine2,MaterialTemperature,U,Actual;Machine2,ExitZoneTemperature,C,Actual;Machine3,RawMaterialFeederParameter,U,Actual;Machine3,Zone1Temperature,C,Actual;Machine3,Zone2Temperature,C,Actual;Machine3,MotorAmperage,U,Actual;Machine3,MotorRPM,C,Actual;Machine3,MaterialPressure,U,Actual;Machine3,MaterialTemperature,U,Actual;Machine3,ExitZoneTemperature,C,Actual;FirstStage,CombinerOperation,Temperature1,U,Actual;FirstStage,CombinerOperation,Temperature2,U,Actual;FirstStage,CombinerOperation,Temperature3,C,Actual;Delta KC1;Delta KC2;Delta KC3;Delta KC4;Delta KC5;Delta KC6;Delta KC7;Delta KC8;Delta KC9;Delta KC10;Delta KC11;Delta KC12
17.24;23.53;1207.77;72.3;72.7;49.37;10.52;431.12;77.3;75.1;12.59;236;601.11;257;216.81;69.01;69.83;72.69;13.89;238.57;70.2;60;203.06;78;78.3;350.62;13.78;252.89;65.7;65.1;103.1;111.6;80;-1.05;-11.46;-1.54;0.0899999999999999;-1.38;-2.74;-0.17;-0.0900000000000003;-0.650000000000002;-2.09;-0.760000000000001;-0.75
17.24;23.53;1134.89;72.3;72.7;48.84;10.52;427.93;77.3;75.1;12.59;236;601.11;257;219.04;68.98;69.69;73.13;13.89;237.43;70.1;60.1;234.3;78.1;78.3;342.6;13.55;253.52;65.8;65.1;103.1;111.1;80;-1.05;-11.46;-1.54;0.0899999999999999;-1.38;-2.74;-0.17;-0.0900000000000003;-0.650000000000002;-2.09;-0.760000000000001;-0.75
17.24;23.53;1246.27;72.3;72.7;48.97;10.48;433.71;77.3;75.1;12.59;236;601.11;257;199.11;68.98;69.72;72.75;13.94;240.87;70.3;60.1;214.71;78.1;78.3;334.36;13.53;252.85;65.8;65.1;103.1;111.5;80;-1.05;-11.46;-1.54;0.0899999999999999;-1.38;-2.74;-0.17;-0.0900000000000003;-0.650000000000002;-2.09;-0.760000000000001;-0.75
17.24;23.53;1246.37;72.3;72.7;48.7;10.45;430.82;77.4;75.1;12.59;236;601.11;257;194.29;68.97;69.72;72.38;13.93;243.37;70.4;60.1;194.2;78.1;78.3;345.07;13.62;252.4;65.8;65.1;103.4;111.8;80;-1.02;-11.41;-1.46;0.0500000000000007;-1.36;-2.74;-0.18;-0.0900000000000003;-0.580000000000002;-2.07;-0.720000000000001;-0.74
17.24;23.53;1247.26;72.3;72.7;49.1;10.52;439.28;77.4;75.1;12.59;236;601.11;257;230.32;68.97;69.71;72.63;13.9;242.82;70.1;60.2;196.54;78.1;78.3;341.41;13.47;252.13;65.8;65.1;103.4;111.6;80;-1.02;-11.41;-1.46;0.0500000000000007;-1.36;-2.74;-0.18;-0.0900000000000003;-0.580000000000002;-2.07;-0.720000000000001;-0.74
17.24;23.53;1217.6;72.3;72.7;49.1;10.52;428.76;77.4;75.1;12.59;236;601.11;257;217.53;68.98;69.7;72.94;13.85;240.57;70.4;60.2;213.95;78.2;78.3;339.63;13.62;251.53;65.8;65.1;103.4;111.9;80;-1.09;-11.55;-1.44;0.0800000000000018;-1.38;-2.74;-0.15;-0.0700000000000003;-0.550000000000001;-2.08;-0.69;-0.73
17.24;23.53;1222.42;72.3;72.7;49.1;10.52;421.37;77.4;75.1;12.59;236;601.11;257;214.58;68.99;69.71;73;13.94;238.87;70.2;60.2;227.33;78.2;78.3;343.45;13.7;252.1;65.8;65.1;102.9;111.3;80;-1.09;-11.55;-1.44;0.0800000000000018;-1.38;-2.74;-0.15;-0.0700000000000003;-0.550000000000001;-2.08;-0.69;-0.73
17.24;23.53;1034.48;72.3;72.7;48.7;10.48;430.59;77.4;75.1;12.59;236;601.11;257;195.46;68.97;69.62;72.75;13.92;242.42;70.4;60.2;205.64;78.2;78.3;343.46;13.7;251.36;65.8;65.1;102.9;111.6;80;-1.06;-11.55;-1.47;0.0899999999999999;-1.46;-2.74;-0.18;-0.11;-0.629999999999999;-2.08;-0.680000000000001;-0.75
17.24;23.53;1213.23;72.3;72.7;48.43;10.48;434.32;77.5;75.1;12.59;236;601.11;257;219.6;68.97;69.62;72.31;13.87;243.15;70.2;60.3;209.79;78.3;78.3;337.56;13.66;251.55;65.8;65.1;102.9;112;80;-1.06;-11.55;-1.47;0.0899999999999999;-1.46;-2.74;-0.18;-0.11;-0.629999999999999;-2.08;-0.680000000000001;-0.75
17.24;23.53;1224.42;72.3;72.6;48.3;10.48;433.69;77.5;75.1;12.59;236;601.11;257;214.54;68.97;69.54;72.81;13.85;238.98;70.3;60.3;194.23;78.3;78.3;344.52;13.66;251.34;65.8;65.1;103.3;111.8;80;-1.06;-11.55;-1.47;0.0899999999999999;-1.46;-2.74;-0.18;-0.11;-0.629999999999999;-2.08;-0.680000000000001;-0.75
